Pubchem-id	Isomeric-SMILES	Canonical-SMILES	InChI
8316	C1=CC=C2C(=C1)C(=CC(=C2N)O)S(=O)(=O)O	C1=CC=C2C(=C1)C(=CC(=C2N)O)S(=O)(=O)O	InChI=1S/C10H9NO4S/c11-10-7-4-2-1-3-6(7)9(5-8(10)12)16(13,14)15/h1-5,12H,11H2,(H,13,14,15)
516996	C1=CC=C2C(=C1)C(=CC(=O)C2=O)S(=O)(=O)[O-].[Na+]	C1=CC=C2C(=C1)C(=CC(=O)C2=O)S(=O)(=O)[O-].[Na+]	InChI=1S/C10H6O5S.Na/c11-8-5-9(16(13,14)15)6-3-1-2-4-7(6)10(8)12;/h1-5H,(H,13,14,15);/q;+1/p-1
10708	C1=CC(=C(C=C1C(=O)O)C(=O)O)C(=O)O	C1=CC(=C(C=C1C(=O)O)C(=O)O)C(=O)O	InChI=1S/C9H6O6/c10-7(11)4-1-2-5(8(12)13)6(3-4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)
11138	C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O	C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O	InChI=1S/C9H6O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)
248127	C1COC2=C(O1)C=CC(=C2)C=O	C1COC2=C(O1)C=CC(=C2)C=O	InChI=1S/C9H8O3/c10-6-7-1-2-8-9(5-7)12-4-3-11-8/h1-2,5-6H,3-4H2
4650	C1=CC(=O)C=CC1=O	C1=CC(=O)C=CC1=O	InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H
8530	C1=CC=C2C(=O)C=CC(=O)C2=C1	C1=CC=C2C(=O)C=CC(=O)C2=C1	InChI=1S/C10H6O2/c11-9-5-6-10(12)8-4-2-1-3-7(8)9/h1-6H
6971	CC(=O)NC1=CC=CC=C1C(=O)O	CC(=O)NC1=CC=CC=C1C(=O)O	InChI=1S/C9H9NO3/c1-6(11)10-8-5-3-2-4-7(8)9(12)13/h2-5H,1H3,(H,10,11)(H,12,13)
61240	CC(=O)C1=CC=CN1C	CC(=O)C1=CC=CN1C	InChI=1S/C7H9NO/c1-6(9)7-4-3-5-8(7)2/h3-5H,1-2H3
14514	CC1=CC=C(O1)C(=O)C	CC1=CC=C(O1)C(=O)C	InChI=1S/C7H8O2/c1-5-3-4-7(9-5)6(2)8/h3-4H,1-2H3
6920	CC(=O)C1=CC=CS1	CC(=O)C1=CC=CS1	InChI=1S/C6H6OS/c1-5(7)6-3-2-4-8-6/h2-4H,1H3
688305	C1=C(C=C(C(=C1C=O)N)Br)Br	C1=C(C=C(C(=C1C=O)N)Br)Br	InChI=1S/C7H5Br2NO/c8-5-1-4(3-11)7(10)6(9)2-5/h1-3H,10H2
2723601	C1=NC2=C(N1)C(=S)N=C(N2)N	C1=NC2=C(N1)C(=S)N=C(N2)N	InChI=1S/C5H5N5S/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)
72930	C1=CC(=C(N=C1)N)C(=O)O	C1=CC(=C(N=C1)N)C(=O)O	InChI=1S/C6H6N2O2/c7-5-4(6(9)10)2-1-3-8-5/h1-3H,(H2,7,8)(H,9,10)
7978	C1=CN=C(N=C1)N	C1=CN=C(N=C1)N	InChI=1S/C4H5N3/c5-4-6-2-1-3-7-4/h1-3H,(H2,5,6,7)
81124	C1=CC=C(C=C1)NC2=CC(=O)C3=CC=CC=C3C2=O	C1=CC=C(C=C1)NC2=CC(=O)C3=CC=CC=C3C2=O	InChI=1S/C16H11NO2/c18-15-10-14(17-11-6-2-1-3-7-11)16(19)13-9-5-4-8-12(13)15/h1-10,17H
8658	COC1=CC=CC=C1C=O	COC1=CC=CC=C1C=O	InChI=1S/C8H8O2/c1-10-8-5-3-2-4-7(8)6-9/h2-6H,1H3
11370	COC1=CC=CC=C1C(=O)O	COC1=CC=CC=C1C(=O)O	InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)
6813	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O	InChI=1S/C14H10O3/c15-13(10-6-2-1-3-7-10)11-8-4-5-9-12(11)14(16)17/h1-9H,(H,16,17)
121052	C1=CC=C(C=C1)C2=CC=CC=C2C=O	C1=CC=C(C=C1)C2=CC=CC=C2C=O	InChI=1S/C13H10O/c14-10-12-8-4-5-9-13(12)11-6-2-1-3-7-11/h1-10H
70357	C1=CC=C(C=C1)C2=CC=CC=C2C(=O)O	C1=CC=C(C=C1)C2=CC=CC=C2C(=O)O	InChI=1S/C13H10O2/c14-13(15)12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,(H,14,15)
5380187	CCOC(=O)C1=C(C(=O)C2=C(C=C(C=C2O1)O)O)C3=CC=C(C=C3)OC	CCOC(=O)C1=C(C(=O)C2=C(C=C(C=C2O1)O)O)C3=CC=C(C=C3)OC	InChI=1S/C19H16O7/c1-3-25-19(23)18-15(10-4-6-12(24-2)7-5-10)17(22)16-13(21)8-11(20)9-14(16)26-18/h4-9,20-21H,3H2,1-2H3
8406	C1=CC=C(C(=C1)C=O)C(=O)O	C1=CC=C(C(=C1)C=O)C(=O)O	InChI=1S/C8H6O3/c9-5-6-3-1-2-4-7(6)8(10)11/h1-5H,(H,10,11)
19870	C1=CC(=C(C(=C1)[N+](=O)[O-])Cl)C(=O)O	C1=CC(=C(C(=C1)[N+](=O)[O-])Cl)C(=O)O	InChI=1S/C7H4ClNO4/c8-6-4(7(10)11)2-1-3-5(6)9(12)13/h1-3H,(H,10,11)
7448	C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)O	C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)O	InChI=1S/C7H4ClNO4/c8-6-3-4(9(12)13)1-2-5(6)7(10)11/h1-3H,(H,10,11)
5280896	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1
14505	CC(=O)C1=CC=CO1	CC(=O)C1=CC=CO1	InChI=1S/C6H6O2/c1-5(7)6-3-2-4-8-6/h2-4H,1H3
12819	C1=CC=C2C(=C1)C=CC(=C2C=O)O	C1=CC=C2C(=C1)C=CC(=C2C=O)O	InChI=1S/C11H8O2/c12-7-10-9-4-2-1-3-8(9)5-6-11(10)13/h1-7,13H
6755	C1=CC=C2C(=C1)C(=CC(=O)C2=O)O	C1=CC=C2C(=C1)C(=CC(=O)C2=O)O	InChI=1S/C10H6O3/c11-8-5-9(12)10(13)7-4-2-1-3-6(7)8/h1-5,11H
69600	COC1=CC(=C(C=C1)C=O)O	COC1=CC(=C(C=C1)C=O)O	InChI=1S/C8H8O3/c1-11-7-3-2-6(5-9)8(10)4-7/h2-5,10H,1H3
95695	COC1=CC(=C(C=C1)O)C=O	COC1=CC(=C(C=C1)O)C=O	InChI=1S/C8H8O3/c1-11-7-2-3-8(10)6(4-7)5-9/h2-5,10H,1H3
11970	C1=CC=C(C(=C1)CC(=O)O)O	C1=CC=C(C(=C1)CC(=O)O)O	InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)
4055	CC1=CC(=O)C2=CC=CC=C2C1=O	CC1=CC(=O)C2=CC=CC=C2C1=O	InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3
1047	C1=CN=C(C=N1)C(=O)O	C1=CN=C(C=N1)C(=O)O	InChI=1S/C5H4N2O2/c8-5(9)4-3-6-1-2-7-4/h1-3H,(H,8,9)
96695	C1=CC=C2C(=C1)N=CC(=N2)C(=O)O	C1=CC=C2C(=C1)N=CC(=N2)C(=O)O	InChI=1S/C9H6N2O2/c12-9(13)8-5-10-6-3-1-2-4-7(6)11-8/h1-5H,(H,12,13)
1066	C1=CC(=C(N=C1)C(=O)O)C(=O)O	C1=CC(=C(N=C1)C(=O)O)C(=O)O	InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-8-5(4)7(11)12/h1-3H,(H,9,10)(H,11,12)
3080607	C1=C(N=C2C(=NC(=NC2=N1)N)N)C=O	C1=C(N=C2C(=NC(=NC2=N1)N)N)C=O	InChI=1S/C7H6N6O/c8-5-4-6(13-7(9)12-5)10-1-3(2-14)11-4/h1-2H,(H4,8,9,10,12,13)
8718	CC1=CC(=O)C(=CC1=O)C	CC1=CC(=O)C(=CC1=O)C	InChI=1S/C8H8O2/c1-5-3-8(10)6(2)4-7(5)9/h3-4H,1-2H3
7556	C1=C(C(=O)C(=CC1=NCl)Cl)Cl	C1=C(C(=O)C(=CC1=NCl)Cl)Cl	InChI=1S/C6H2Cl3NO/c7-4-1-3(10-9)2-5(8)6(4)11/h1-2H
10367	C1=CC(=NC(=C1)C(=O)O)C(=O)O	C1=CC(=NC(=C1)C(=O)O)C(=O)O	InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-5(8-4)7(11)12/h1-3H,(H,9,10)(H,11,12)
80222	CC(=O)C1=CC=CC(=C1)C#N	CC(=O)C1=CC=CC(=C1)C#N	InChI=1S/C9H7NO/c1-7(11)9-4-2-3-8(5-9)6-10/h2-5H,1H3
77553	CC(=O)C1=CC2=CC=CC=C2OC1=O	CC(=O)C1=CC2=CC=CC=C2OC1=O	InChI=1S/C11H8O3/c1-7(12)9-6-8-4-2-3-5-10(8)14-11(9)13/h2-6H,1H3
22244	C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N	C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N	InChI=1S/C11H9NO2/c12-10-6-8-4-2-1-3-7(8)5-9(10)11(13)14/h1-6H,12H2,(H,13,14)
11569	COC1=CC=CC(=C1)C=O	COC1=CC=CC(=C1)C=O	InChI=1S/C8H8O2/c1-10-8-4-2-3-7(5-8)6-9/h2-6H,1H3
80671	COC1=C(C=C(C=C1)C=O)OCC2=CC=CC=C2	COC1=C(C=C(C=C1)C=O)OCC2=CC=CC=C2	InChI=1S/C15H14O3/c1-17-14-8-7-13(10-16)9-15(14)18-11-12-5-3-2-4-6-12/h2-10H,11H2,1H3
20902	C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C(=O)O	C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C(=O)O	InChI=1S/C7H4ClNO4/c8-5-3-1-2-4(7(10)11)6(5)9(12)13/h1-3H,(H,10,11)
74585	C1=CC(=C(C(=C1)Cl)O)C(=O)O	C1=CC(=C(C(=C1)Cl)O)C(=O)O	InChI=1S/C7H5ClO3/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,9H,(H,10,11)
8467	CCOC1=C(C=CC(=C1)C=O)O	CCOC1=C(C=CC(=C1)C=O)O	InChI=1S/C9H10O3/c1-2-12-9-5-7(6-10)3-4-8(9)11/h3-6,11H,2H2,1H3
69117	C1=CC(=C(C(=C1)C(=O)O)O)C=O	C1=CC(=C(C(=C1)C(=O)O)O)C=O	InChI=1S/C8H6O4/c9-4-5-2-1-3-6(7(5)10)8(11)12/h1-4,10H,(H,11,12)
81374	CC1=C(C(=C(C=C1)C(=O)O)[N+](=O)[O-])O	CC1=C(C(=C(C=C1)C(=O)O)[N+](=O)[O-])O	InChI=1S/C8H7NO5/c1-4-2-3-5(8(11)12)6(7(4)10)9(13)14/h2-3,10H,1H3,(H,11,12)
7420	C1=CC(=CC(=C1)O)C(=O)O	C1=CC(=CC(=C1)O)C(=O)O	InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)
11349	C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O	C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O	InChI=1S/C15H10O3/c16-13-11-8-4-5-9-12(11)18-15(14(13)17)10-6-2-1-3-7-10/h1-9,17H
22710	C1=CC(=C(C=C1C=O)Cl)Cl	C1=CC(=C(C=C1C=O)Cl)Cl	InChI=1S/C7H4Cl2O/c8-6-2-1-5(4-10)3-7(6)9/h1-4H
10273	C1=CN=CC(=C1C(=O)O)C(=O)O	C1=CN=CC(=C1C(=O)O)C(=O)O	InChI=1S/C7H5NO4/c9-6(10)4-1-2-8-3-5(4)7(11)12/h1-3H,(H,9,10)(H,11,12)
83651	C1=C(C=C(C(=C1O)O)O)C=O	C1=C(C=C(C(=C1O)O)O)C=O	InChI=1S/C7H6O4/c8-3-4-1-5(9)7(11)6(10)2-4/h1-3,9-11H
73942	CC(=O)NC1=CC=C(C=C1)C=O	CC(=O)NC1=CC=C(C=C1)C=O	InChI=1S/C9H9NO2/c1-7(12)10-9-4-2-8(6-11)3-5-9/h2-6H,1H3,(H,10,12)
14282	CC(=O)C1=CC=NC=C1	CC(=O)C1=CC=NC=C1	InChI=1S/C7H7NO/c1-6(9)7-2-4-8-5-3-7/h2-5H,1H3
70120	C1=C(NC(=O)NC1=O)N	C1=C(NC(=O)NC1=O)N	InChI=1S/C4H5N3O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H4,5,6,7,8,9)
31244	COC1=CC=C(C=C1)C=O	COC1=CC=C(C=C1)C=O	InChI=1S/C8H8O2/c1-10-8-4-2-7(6-9)3-5-8/h2-6H,1H3
75506	COC1=C(C=CC(=C1)C=O)OCC2=CC=CC=C2	COC1=C(C=CC(=C1)C=O)OCC2=CC=CC=C2	InChI=1S/C15H14O3/c1-17-15-9-13(10-16)7-8-14(15)18-11-12-5-3-2-4-6-12/h2-10H,11H2,1H3
3332	C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O	C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O	InChI=1S/C14H12O2/c15-14(16)10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9H,10H2,(H,15,16)
76689	C1=CC=C(C=C1)C2=CC=C(C=C2)C=O	C1=CC=C(C=C1)C2=CC=C(C=C2)C=O	InChI=1S/C13H10O/c14-10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-10H
66724	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O	InChI=1S/C13H10O2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,(H,14,15)
85505	C1=CC(=C(C=C1C=O)[N+](=O)[O-])Cl	C1=CC(=C(C=C1C=O)[N+](=O)[O-])Cl	InChI=1S/C7H4ClNO3/c8-6-2-1-5(4-10)3-7(6)9(11)12/h1-4H
12088	C1=CC(=CC=C1C=O)C(=O)O	C1=CC(=CC=C1C=O)C(=O)O	InChI=1S/C8H6O3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-5H,(H,10,11)
159772	C1=CC(=CC=C1C(=O)O)N=C(N)N	C1=CC(=CC=C1C(=O)O)N=C(N)N	InChI=1S/C8H9N3O2/c9-8(10)11-6-3-1-5(2-4-6)7(12)13/h1-4H,(H,12,13)(H4,9,10,11)
12127	COC1=C(C=C(C=C1)C=O)O	COC1=C(C=C(C=C1)C=O)O	InChI=1S/C8H8O3/c1-11-8-3-2-6(5-9)4-7(8)10/h2-5,10H,1H3
160562	COC1=C(C=C(C=C1)CC(=O)O)O	COC1=C(C=C(C=C1)CC(=O)O)O	InChI=1S/C9H10O4/c1-13-8-3-2-6(4-7(8)10)5-9(11)12/h2-4,10H,5H2,1H3,(H,11,12)
12033	C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])O	C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])O	InChI=1S/C7H5NO5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H,(H,10,11)
127	C1=CC(=CC=C1CC(=O)O)O	C1=CC(=CC=C1CC(=O)O)O	InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)
75182	C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O	C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O	InChI=1S/C13H10O3/c14-13(15)10-6-8-12(9-7-10)16-11-4-2-1-3-5-11/h1-9H,(H,14,15)
116545	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	InChI=1S/C14H11Cl2NO3/c15-10-6-9(18)7-11(16)14(10)17-12-4-2-1-3-8(12)5-13(19)20/h1-4,6-7,17-18H,5H2,(H,19,20)
3052567	C1=CC(=C(C=C1O)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	C1=CC(=C(C=C1O)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	InChI=1S/C14H11Cl2NO4/c15-10-5-9(19)6-11(16)14(10)17-12-2-1-8(18)3-7(12)4-13(20)21/h1-3,5-6,17-19H,4H2,(H,20,21)
8408	C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N	C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N	InChI=1S/C10H9NO3S/c11-10-3-1-2-7-6-8(15(12,13)14)4-5-9(7)10/h1-6H,11H2,(H,12,13,14)
4075	C1=CC(=C(C=C1N)C(=O)O)O	C1=CC(=C(C=C1N)C(=O)O)O	InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)
6035	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O	C1C(C(OC1N2C=C(C(=O)NC2=O)Br)CO)O	InChI=1S/C9H11BrN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1
