Name	CAS-number	MW
1-Amino-2-naphthol-4-sulfonic acid	116-63-2	239.25
1,2-Naphthoquinone-4-sulfonic acid sodium salt	521-24-4	260.20
1,2,4-Benzenetricarboxylic acid	528-44-9	210.14
1,3,5-Benzenetricarboxylic acid	554-95-0	210.14
1,4-Benzodioxan-6-carboxaldehyde	29668-44-8	164.16
1,4-Benzoquinone	106-51-4	108.09
1,4-Naphthoquinone	130-15-4	158.15
2-Acetamidobenzoic acid	89-52-1	179.17
2-Acetyl-1-methylpyrrole	932-16-1	123.15
2-Acetyl-5-methylfuran	1193-79-9	124.14
2-Acetylthiophene	88-15-3	126.18
2-Amino-3,5-dibromobenzaldehyde	50910-55-9	278.93
2-Amino-6-mercaptopurine (Thioguanine)a	154-42-7	167.19
2-Aminonicotinic acid	5345-47-1	138.12
2-Aminopyrimidine	109-12-6	95.10
2-Anilino-1,4-naphthoquinone	6628-97-3	249.27
2-Anisaldehyde	135-02-4	136.15
2-Anisic acid	579-75-9	152.15
2-Benzoylbenzoic acid	85-52-9	226.23
2-Biphenylcarboxaldehyde	1203-68-5	182.22
2-Biphenylcarboxylic acid	947-84-2	198.22
2-Carbethoxy-5,7-dihydroxy-4'-methoxyisofavone	15485-76-4	356.33
2-Carboxybenzaldehyde	119-67-5	150.13
2-Chloro-3-nitrobenzoic acid	3970-35-2	201.56
2-Chloro-4-nitrobenzoic acid	99-60-5	201.56
2-Cis,4-trans-abscisic acid	14375-45-2	264.32
2-furyl methyl ketone	1192-62-7	110.11
2-Hydroxy-1-naphthaldehyde	708-06-5	172.18
2-Hydroxy-1,4-naphthoquinone	83-72-7	174.15
2-Hydroxy-4-methoxybenzaldehyde	673-22-3	152.15
2-Hydroxy-5-methoxybenzaldehyde	672-13-9	152.15
2-Hydroxyphenylacetic acid	614-75-5	152.15
2-Methyl-1,4-naphthoquinone (Menadione)a	58-27-5	172.18
2-Pyrazinecarboxylic acid	98-97-5	124.10
2-Quinoxalinecarboxylic acid	879-65-2	174.16
2,3-Pyridinedicarboxylic acid	339155-13-4	167.12
2,4-Diamino-6-formylpteridine	4261-17-0	190.16
2,5-Dimethyl-p-benzoquinone	137-18-8	136.15
2,6-Dichloroquinone-4-chloroimide	101-38-2	210.45
2,6-Pyridinedicarboxylic acid	499-83-2	167.12
3-Acetylbenzonitrile	6136-68-1	145.16
3-Acetylcoumarin	3949-36-8	188.18
3-Amino-2-naphthoic acid	5959-52-4	187.19
3-Anisaldehyde	591-31-1	136.15
3-Benzyloxy-4-methoxybenzaldehyde	6346-05-0	242.27
3-Chloro-2-nitrobenzoic acid	4771-47-5	201.56
3-Chlorosalicylic acid	1829-32-9	172.57
3-Ethoxy-4-hydroxybenzaldehyde	121-32-4	166.17
3-Formylsalicylic acid	610-04-8	166.13
3-Hydroxy-4-methyl-2-nitrobenzoic acid	6946-15-2	197.14
3-Hydroxybenzoic acid	99-06-9	138.12
3-Hydroxyflavone	577-85-5	238.24
3,4-Dichlorobenzaldehyde	6287-38-3	175.01
3,4-Pyridinedicarboxylic acid	490-11-9	167.12
3,4,5-Trihydroxybenzaldehyde	13677-79-7	154.12
4-Acetamidobenzaldehyde	122-85-0	163.17
4-Acetylpyridine	1122-54-9	121.14
4-Aminouracil	873-83-6	127.10
4-Anisaldehyde	123-11-5	136.15
4-Benzyloxy-3-methoxybenzaldehyde	2426-87-1	242.27
4-Biphenylacetic acid	5728-52-9	212.24
4-Biphenylcarboxaldehyde	3218-36-8	182.22
4-Biphenylcarboxylic acid	92-92-2	198.22
4-Chloro-3-nitrobenzaldehyde	16588-34-4	185.56
4-Formylbenzoic acid	619-66-9	150.13
4-Guanidinobenzoic acid	16060-65-4	179.18
4-Hydroxy-3-methoxybenzaldehyde (isovanillin)	621-59-0	152.15
4-Hydroxy-3-methoxyphenylacetic acid	1131-94-8	182.17
4-Hydroxy-3-nitrobenzoic acid	616-82-0	183.12
4-Hydroxyphenylacetic acid	156-38-7	152.15
4-Phenoxybenzoic acid	2215-77-2	214.22
5-Aminonaphthalene-2-sulfonic acid	119-79-9	223.25
5-Aminosalicylic acid	89-57-6	153.14
5-Bromo-2'-deoxyuridine (Broxuridine)	59-14-3	307.10
5-Bromosalicylaldehyde	1761-61-1	201.02
5-Bromouracil	51-20-7	190.98
5-Chlorosalicylic acid	321-14-2	172.57
5-Formylsalicylic acid	616-76-2	166.13
5-Hydroxy-1,4-naphthoquinone	481-39-0	174.15
5,8-Dihydroxy-1,4-naphthoquinone	475-38-7	190.15
6-Aminonicotinic acid	7418-65-7	138.12
6-Chloro-4-hydroxycoumarine	19484-57-2	196.59
6-Chloropurine	87-42-3	154.56
7-Hydroxyflavone	6665-86-7	238.24
8-Aminonaphthalene-2-sulfonic acid	119-28-8	223.25
8-Hydroxyquinoline-2-carboxylic acid	1571-30-8	189.17
8-Hydroxyquinoline-5-sulfonic acid	207386-92-3	225.22
9-Anthraldehyde	642-31-9	206.24
Acridone	578-95-0	195.22
Adenine	73-24-5	135.13
Adenosine	58-61-7	267.24
Alloxan	50-71-5	142.07
Alpha-Ionone	127-41-3	192.30
Anthraflavic acid	84-60-6	240.21
Anthranilic acid	118-92-3	137.14
Anthraquinone-2-sulfonic acid sodium salt	131-08-8	310.26
Apigenin (4',5,7-trihydroxyflavone)	520-36-5	270.24
Baicalein (5,6,7-trihydroxyflavone)	491-67-8	270.24
Benzalacetone (4-phenyl-3-buten-2-one)	122-57-6	146.19
Benzbromarone	3562-84-3	424.08
Benzofuran-2-carboxylic acid	496-41-3	162.14
Biochanin A (5,7-dihydroxy-4'methoxyisoflavone)	491-80-5	284.26
Bumetanide	28395-03-1	364.42
Calconcarboxylic acid	3737-95-9	438.41
Chelidamic acid	138-60-3	183.12
Chromone-2-carboxylic acid	4940-39-0	190.15
Chrysin (5,7-Dihydroxyflavone)	480-40-0	254.24
Coumarina	91-64-5	146.14
Dehydroacetic acid	520-45-6	168.15
Di-furan-2-yl-methanone	17920-86-4	162.14
Dicumarol (3,3'-methylenebis[4-hydroxycoumarin])	66-76-2	336.29
Duroquinone (tetramethyl-p-benzoquinone)	527-17-3	164.20
Galangin (3,5,7-trihydroxyflavone)	548-83-4	270.24
Gallocyanine (7-dimethylamino-4-hydroxy-3-oxo-phenoxazine-1-carboxylic acid)	1562-85-2	336.73
Genistein (4',5,7-trihydroxyisoflavone)	446-72-0	270.24
Homogentisic acid (2,5-dihydroxyphenylacetic acid)	451-13-8	168.15
Hypoxanthine (6-hydroxypurine)	68-94-0	136.11
Indole-2-carboxylic acid	1477-50-5	161.16
Indole-3-carboxaldehyde	487-89-8	145.16
Isophorone	78-59-1	138.21
Isophthalaldehyde	626-19-7	134.13
Isoquinoline-1-carboxylic acid	486-73-7	173.17
Isovanillic acid (3-hydroxy-4-methoxybenzoic acid)	645-08-9	168.15
Kaempferol (3,4',5,7-tetrahydroxyflavone)	520-18-3	286.24
Khellin	82-02-0	260.24
Kinetin (6-Furfurylaminopurine)	525-79-1	215.21
Kojic acid	501-30-4	142.11
Leucopterin (2-amino-4,6,7-trihydroxypteridine)	492-11-5	195.14
Luteolin (3',4',5,7-tetrahydroxyflavone)	491-70-3	286.24
Menadione sodium bisulfite	130-37-0	276.24
Morin hydrate (1',3,3',5,7-pentahydroxyflavone)	654055-01-3	302.24
Myricetin (3,3',4',5,5',7-hexahydroxyflavone)	529-44-2	318.24
Naringenin (4',5,7-trihydroxyflavanone)	67604-48-2	272.25
Phloroglucinol carbaldehyde (2,4,6-trihydroxybenzaldehyde)	487-70-7	154.12
Picramic acid (2-amino-4,6-dinitrophenol)	96-91-3	199.12
Quercetin (3,3',4',5,7-pentahydroxyflavone)	117-39-5	302.24
Rhodizonic acid	118-76-3	170.08
Tenofovir	147127-20-6	287.22
Tetrachloro-o-benzoquinone	2435-53-2	245.88
Tetrahydroxy-1,4-quinone	319-89-1	172.09
Theobromine	83-67-0	180.16
Theophylline (1,3-dimethylxanthine)	58-55-9	180.16
Thiamine hydrochloride (vatamin B1)	67-03-8	337.27
Toluquinone	553-97-9	122.12
Uridine	58-96-8	244.20
Vanillan (4-hydroxy-3-methoxybenzaldehyde)	121-33-5	152.15
Xanthopterin	119-44-8	179.14
Acyclovir	59277-89-3	225.21
Amrinone	60719-84-8	187.20
Aspirin	50-78-2	180.16
Azacytidine	320-67-2	244.21
Azathiopurine	446-86-6	277.27
Chlorothiazide	58-94-6	295.72
Chloroxine	773-76-2	214.05
Coumarina	91-64-5	146.14
Diclofenac	15307-86-5	296.15
Diflunisal	22494-42-4	250.20
Doxofylline	69975-86-6	266.25
Dyphylline	479-18-5	254.24
Fenoprofen	31879-05-7	242.27
Floxuridine	50-91-9	246.19
Flucytosine	2022-85-7	129.09
Flufenamic acida	530-78-9	281.23
Ketorolac	74103-06-3	255.27
Lamivudine	134678-17-4	229.26
Mefenamic acid	61-68-7	241.29
Menadionea	58-27-5	172.18
Mercaptopurine	50-44-2	152.18
Methaqualone	72-44-6	250.30
Methotrexate	59-05-2	454.44
Methoxamine	390-28-3	211.26
Methoxsalen	298-81-7	216.19
Nalidixic acid	389-08-2	232.24
Phenazopyridine	94-78-0	213.24
Phenylephrine	59-42-7	167.21
Pipemidic acid	51940-44-4	303.32
Pyrimethamine	58-14-0	248.71
Quinethazone	73-49-4	289.74
Salsalate	552-94-3	258.23
Thioguanine	154-42-7	167.19
Triameterenea	396-01-0	253.26
Trimethoprim	738-70-5	290.32
Trichloromethiazide	133-67-5	380.66
4'-hydroxydiclofenac	64118-84-9	312.15
5-hydroxydiclofenac	69002-84-2	312.15
4',5-dihydroxydiclofenac	69002-86-4	328.15
Diclofenac Acyl-β-Dglucuronide	64118-81-6	472.27
Diclofenac Acyl-β-Dglucuronide allyl ester	698358-10-0	512.34
Celecoxib	169590-42-5	381.37
Etodolac	41340-25-4	287.35
Flunixin	38677-85-9	296.24
Flurbiprofen	5104-49-4	244.26
Indomethacin	53-86-1	357.79
Meloxicam	71125-38-7	351.4
Rofecoxib	162011-90-7	314.36
Piroxicam	36322-90-4	331.35
Tenoxicam	59804-37-4	337.37
